date,event_count,wildfire_count,storm_count
2024-04-19,2,2,0
2024-04-20,2,2,0
2024-04-22,1,1,0
2024-04-23,3,3,0
2024-04-24,1,1,0
2024-04-29,1,1,0
2024-05-01,9,7,2
2024-05-02,7,3,4
2024-05-03,12,8,4
2024-05-04,4,1,3
2024-05-05,7,7,0
2024-05-06,8,8,0
2024-05-07,5,5,0
2024-05-08,6,6,0
2024-05-09,6,6,0
2024-05-10,9,9,0
2024-05-11,5,5,0
2024-05-12,14,14,0
2024-05-13,19,19,0
2024-05-14,9,9,0
2024-05-15,19,19,0
2024-05-16,16,13,3
2024-05-17,19,15,4
2024-05-18,15,11,4
2024-05-19,18,13,5
2024-05-20,21,15,6
2024-05-21,27,23,4
2024-05-22,15,12,3
2024-05-23,12,12,0
2024-05-24,15,15,0
2024-05-25,17,13,4
2024-05-26,27,19,8
2024-05-27,28,24,4
2024-05-28,43,39,4
2024-05-29,32,28,4
2024-05-30,54,50,4
2024-05-31,45,44,1
2024-06-01,89,89,0
2024-06-02,81,81,0
2024-06-03,79,79,0
2024-06-04,82,82,0
2024-06-05,87,87,0
2024-06-06,94,94,0
2024-06-07,122,122,0
2024-06-08,82,82,0
2024-06-09,87,87,0
2024-06-10,104,104,0
2024-06-11,112,112,0
2024-06-12,33,33,0
2024-06-13,10,10,0
2024-06-14,4,4,0
2024-06-15,13,13,0
2024-06-16,11,11,0
2024-06-17,37,36,1
2024-06-18,27,23,4
2024-06-19,30,26,4
2024-06-20,21,17,4
2024-06-21,21,21,0
2024-06-22,19,19,0
2024-06-23,8,8,0
2024-06-24,37,37,0
2024-06-25,33,33,0
2024-06-26,31,31,0
2024-06-27,24,24,0
2024-06-28,13,13,0
2024-06-29,15,11,4
2024-06-30,23,19,4
2024-07-01,24,17,7
2024-07-02,14,10,4
2024-07-03,21,17,4
2024-07-04,18,13,5
2024-07-05,27,19,8
2024-07-06,19,14,5
2024-07-07,17,13,4
2024-07-08,13,9,4
2024-07-09,29,25,4
2024-07-10,14,10,4
2024-07-11,17,16,1
2024-07-12,19,19,0
2024-07-13,28,28,0
2024-07-14,26,26,0
2024-07-15,31,31,0
2024-07-16,26,26,0
2024-07-17,50,50,0
2024-07-18,47,47,0
2024-07-19,49,49,0
2024-07-20,31,27,4
2024-07-21,39,31,8
2024-07-22,60,52,8
2024-07-23,52,47,5
2024-07-24,60,56,4
2024-07-25,63,56,7
2024-07-26,68,64,4
2024-07-27,45,45,0
2024-07-28,51,51,0
2024-07-29,44,44,0
2024-07-30,55,55,0
2024-07-31,44,43,1
2024-08-01,52,48,4
2024-08-02,29,25,4
2024-08-03,48,41,7
2024-08-04,57,45,12
2024-08-05,80,61,19
2024-08-06,61,47,14
2024-08-07,47,34,13
2024-08-08,75,63,12
2024-08-09,76,68,8
2024-08-10,56,51,5
2024-08-11,51,45,6
2024-08-12,53,41,12
2024-08-13,43,32,11
2024-08-14,37,29,8
2024-08-15,51,43,8
2024-08-16,52,44,8
2024-08-17,36,28,8
2024-08-18,36,29,7
2024-08-19,45,33,12
2024-08-20,47,36,11
2024-08-21,40,36,4
2024-08-22,48,39,9
2024-08-23,39,27,12
2024-08-24,36,24,12
2024-08-25,48,35,13
2024-08-26,39,23,16
2024-08-27,46,30,16
2024-08-28,43,27,16
2024-08-29,34,19,15
2024-08-30,30,17,13
2024-08-31,27,15,12
2024-09-01,36,24,12
2024-09-02,43,39,4
2024-09-03,13,9,4
2024-09-04,7,3,4
2024-09-05,11,3,8
2024-09-06,46,38,8
2024-09-07,45,43,2
2024-09-08,30,30,0
2024-09-09,31,29,2
2024-09-10,33,28,5
2024-09-11,47,39,8
2024-09-12,50,41,9
2024-09-13,34,22,12
2024-09-14,22,10,12
2024-09-15,31,20,11
2024-09-16,34,25,9
2024-09-17,34,27,7
2024-09-18,27,23,4
2024-09-19,28,24,4
2024-09-20,23,19,4
2024-09-21,18,15,3
2024-09-22,11,11,0
2024-09-23,23,19,4
2024-09-24,22,16,6
2024-09-25,35,23,12
2024-09-26,46,30,16
2024-09-27,34,14,20
2024-09-28,46,27,19
2024-09-29,34,18,16
2024-09-30,47,30,17
2024-10-01,35,19,16
2024-10-02,18,4,14
2024-10-03,28,11,17
2024-10-04,26,18,8
2024-10-05,51,42,9
2024-10-06,41,29,12
2024-10-07,28,16,12
2024-10-08,22,14,8
2024-10-09,23,15,8
2024-10-10,18,8,10
2024-10-11,16,12,4
2024-10-12,6,3,3
2024-10-13,1,1,0
2024-10-15,2,2,0
2024-10-16,1,1,0
2024-10-17,8,8,0
2024-10-18,13,13,0
2024-10-19,18,12,6
2024-10-20,22,15,7
2024-10-21,25,18,7
2024-10-22,23,13,10
2024-10-23,23,12,11
2024-10-24,25,13,12
2024-10-25,19,8,11
2024-10-26,24,12,12
2024-10-27,19,8,11
2024-10-28,20,12,8
2024-10-29,14,10,4
2024-10-30,9,5,4
2024-10-31,7,3,4
2024-11-01,5,1,4
2024-11-02,7,1,6
2024-11-03,11,2,9
2024-11-04,12,4,8
2024-11-05,13,5,8
2024-11-06,16,8,8
2024-11-07,25,17,8
2024-11-08,28,19,9
2024-11-09,25,11,14
2024-11-10,22,6,16
2024-11-11,23,8,15
2024-11-12,24,9,15
2024-11-13,25,13,12
2024-11-14,24,10,14
2024-11-15,25,9,16
2024-11-16,17,3,14
2024-11-17,17,5,12
2024-11-18,15,5,10
2024-11-19,13,6,7
2024-11-20,11,7,4
2024-11-21,15,11,4
2024-11-22,9,5,4
2024-11-23,2,2,0
2024-11-24,7,7,0
2024-11-25,1,1,0
2024-11-26,4,4,0
2024-11-27,4,2,2
2024-11-28,6,2,4
2024-11-29,7,1,6
2024-11-30,7,3,4
2024-12-01,6,4,2
2024-12-02,2,2,0
2024-12-03,2,2,0
2024-12-04,6,6,0
2024-12-05,5,5,0
2024-12-06,6,6,0
2024-12-07,6,6,0
2024-12-08,6,6,0
2024-12-09,9,6,3
2024-12-10,9,5,4
2024-12-11,8,4,4
2024-12-12,15,11,4
2024-12-13,12,8,4
2024-12-14,7,3,4
2024-12-15,7,5,2
2024-12-16,8,8,0
2024-12-17,6,6,0
2024-12-18,5,5,0
2024-12-19,8,8,0
2024-12-20,4,4,0
2024-12-21,10,10,0
2024-12-22,9,9,0
2024-12-23,11,11,0
2024-12-24,7,7,0
2024-12-25,5,5,0
2024-12-26,14,12,2
2024-12-27,23,19,4
2024-12-28,19,16,3
2024-12-29,12,8,4
2024-12-30,9,8,1
2024-12-31,11,11,0
